Month,Total nonfarm,Total private,Mining and logging,Construction,Manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Utilities,Information,Financial activities,Professional and business services,Education and health services,Leisure and hospitality,Other services,Government,Federal government,State government,Local government
14-Feb,"137,714","115,889",875,"6,007","12,106","5,708.70","15,243.70","4,556.80",549.2,"2,719","7,930","18,899","21,251","14,509","5,535","21,825","2,731","5,057","14,037"
14-Mar,"137,968","116,135",879,"6,038","12,120","5,713.80","15,248.10","4,572.60",551.2,"2,725","7,932","18,944","21,294","14,564","5,553","21,833","2,728","5,055","14,050"
14-Apr,"138,293","116,440",886,"6,084","12,134","5,728.40","15,303.00","4,586.50",550.1,"2,722","7,944","19,002","21,321","14,614","5,565","21,853","2,728","5,055","14,070"
14-May,"138,511","116,679",887,"6,109","12,146","5,735.20","15,322.90","4,614.80",549.9,"2,719","7,951","19,044","21,364","14,670","5,566","21,832","2,728","5,051","14,053"
14-Jun,"138,837","116,942",892,"6,133","12,170","5,746.40","15,351.80","4,634.00",550.8,"2,725","7,968","19,105","21,410","14,693","5,563","21,895","2,729","5,058","14,108"
14-Jul,"139,069","117,168",897,"6,178","12,189","5,749.30","15,374.90","4,661.50",551.3,"2,724","7,980","19,142","21,453","14,703","5,565","21,901","2,731","5,035","14,135"
14-Aug,"139,257","117,402",898,"6,210","12,208","5,747.40","15,386.20","4,676.20",553.2,"2,731","7,995","19,201","21,491","14,725","5,580","21,855","2,735","5,016","14,104"
14-Sep,"139,566","117,669",903,"6,242","12,226","5,754.70","15,418.90","4,690.10",551.4,"2,732","8,008","19,257","21,543","14,768","5,575","21,897","2,735","5,041","14,121"
14-Oct,"139,818","117,901",901,"6,259","12,259","5,757.20","15,469.70","4,710.00",552.2,"2,726","8,016","19,285","21,573","14,811","5,582","21,917","2,735","5,046","14,136"
14-Nov,"140,109","118,177",900,"6,272","12,284","5,760.20","15,502.90","4,732.60",552.4,"2,735","8,034","19,339","21,626","14,849","5,590","21,932","2,740","5,053","14,139"
14-Dec,"140,377","118,430",896,"6,293","12,292","5,767.80","15,510.50","4,760.50",554,"2,735","8,041","19,418","21,678","14,892","5,592","21,947","2,743","5,059","14,145"
15-Jan,"140,568","118,608",888,"6,320","12,292","5,768.80","15,520.20","4,769.80",554.5,"2,738","8,059","19,442","21,741","14,915","5,600","21,960","2,745","5,065","14,150"
15-Feb,"140,839","118,861",875,"6,361","12,301","5,781.10","15,535.10","4,786.00",554.3,"2,742","8,072","19,487","21,789","14,972","5,605","21,978","2,747","5,071","14,160"
15-Mar,"140,910","118,940",859,"6,334","12,312","5,782.90","15,547.70","4,799.00",554.6,"2,737","8,081","19,513","21,832","14,981","5,607","21,970","2,748","5,067","14,155"
